0,1,2,3,4
Field,Description,Type,Validation,Error Response
Service Provider ID,Used to capture the service provider ID.,String,­ Mandatory. ­ Unique. Cannot enter a Service Provider Id which already exists. ­ Should have 8 digits.,If not entered: “Service provider Id required” If already used: “Service Provider Id already exists”If not 8 digits: “Please enter 8 digit number for Service Provider Id.”
Company name,Used to capture the name of the company.,String,­ Mandatory. ­ Maximum length 50 characters. ­ Cannot enter a company name which already exists.,If not entered: “Company Name required” If maximum length exceeded: “Company Name should be less than 50 characters” If the entered company name already exists: “Service Provider already exists”
Address,Used to capture the address of the company.,String,­ Optional. ­ Maximum length 255 characters.,If maximum length exceeded: “Address should be less than 255 characters”
Description,Used to capture the description about the SP.,String,­ Optional. ­ Maximum length 255 characters.,If maximum length exceeded: “Description should be less than 255 characters”
White Listed Users,Used to capture the white­listed phone numbers.,String,­ Mandatory. ­ Maximum length 15 digits. ­ Minimum length 8 digits. ­ Multiple entries should be separated by commas. ­ If a whitelisted phone number is entered to black listed phone numbers. ­ If the same MSISDN is duplicated in the list.,"If less than the minimum length, exceed the maximum length: “Description should be less than 255 characters” If the following conditions are not met: ­ Maximum length 15 digits. ­ Minimum length 8 digits. ­ Multiple entries should be separated by commas. “Should be comma­separated phone numbers having 15 digits as maximum and 8 digits as minimum”"
,,,,If a whitelisted phone number is entered to black listed phone numbers: “You can not have a White­listed user in the Blacklisted user list.” If the same MSISDN is duplicated in the list: “Msisdn are Duplicate in White listed Msisdn.”
Black Listed Users,Used to capture the black­listed phone numbers.,String,­ Optional. ­ Maximum length 15 digits. ­ Minimum length 8 digits. ­ Multiple entries should be separated by commas. ­,
Dedicated Alias,Used to capture the alias dedicated for the respective service provider across all the SP Apps. Will support regular expressions (case sensitive) and alphanumeric (e.g H3lloPromo7).  Please refer section 3.4 Dedicated Alias Pattern Guide in Appendix B for list of attributes.,String,­ Optional. ­ Multiple entries should be separated by commas. ­ Dedicated alias that has already been entered for one SP should not be allowed to be used by another SP at the same time.,If already entered dedicated alias of an SP entered by another SP: “Dedicated alias/es ­ [Alias Name] or a wildcard format is already in use” If the entered regex is not valid: “Invalid regular expression/s {Dedicated Alias} please enter valid regular expression.”
SP users,Used to select SP­typed User(s) to be assigned for the new SP. (Use Shift or Ctrl keys to select more than one SP­user)  The list of SP users shall be obtained and listed out by referring to the SpUsersGroup.,multi­select list box,­ Mandatory. ­ At least one SP­typed user should be selected.,If no SP­typed users selected: “Select atleast one User Name.”
Marketing Users,"Used to select marketing user(s) who is allowed to monitor the SP and applications.  Using Shift or Ctrl keys, user shall be able to select more than one marketing user. The list of marketing users shall be obtained and listed out by referring to the MarketingUsersGroup.",multi­select list box,­ Mandatory. ­ At least one marketing user should be selected.,If no marketing users selected: “Allowed Marketing Users required.”
Resources,"Select the resources to be allowed for the SP. Using Shift or Ctrl keys, user shall be able to select more than one marketing user. Available options:   SMS  MMS  BAS  WAPPUSH",multi­select list box,­ Mandatory. ­ At least one resource should be selected.,If no resources selected: “Select atleast one resource.”
,USSD  SWS These options are maintained in a DB table.,,,
